="{Table A3: Coefficients-Robussness I}"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)"
="2011 dominated_barrier",="",="",="",="0.155**",="0.155**",="0.155**",="",="",=""
="",="",="",="",="(0.069)",="(0.069)",="(0.069)",="",="",=""
="2011 uncertainty_barrier",="",="",="",="0.317***",="0.317***",="0.317***",="",="",=""
="",="",="",="",="(0.060)",="(0.060)",="(0.060)",="",="",=""
="2011 higher_education",="",="",="",="-0.121",="-0.121",="-0.121",="",="",=""
="",="",="",="",="(0.122)",="(0.121)",="(0.121)",="",="",=""
="2011 bip",="",="",="",="-0.074",="-0.074",="-0.074",="",="",=""
="",="",="",="",="(0.058)",="(0.058)",="(0.058)",="",="",=""
="2011 group",="",="",="",="-0.135**",="-0.135**",="-0.135**",="",="",=""
="",="",="",="",="(0.061)",="(0.061)",="(0.061)",="",="",=""
="2011 bextranj",="",="",="",="-0.213**",="-0.212**",="-0.214**",="",="",=""
="",="",="",="",="(0.104)",="(0.104)",="(0.104)",="",="",=""
="2011 exporter",="",="",="",="-0.020",="-0.020",="-0.020",="",="",=""
="",="",="",="",="(0.068)",="(0.068)",="(0.068)",="",="",=""
="2011 ManufAT",="",="",="",="0.013",="0.011",="0.011",="",="",=""
="",="",="",="",="(0.115)",="(0.115)",="(0.115)",="",="",=""
="2011 ManufTM",="",="",="",="0.035",="0.035",="0.035",="",="",=""
="",="",="",="",="(0.066)",="(0.066)",="(0.066)",="",="",=""
="2011 ServAT",="",="",="",="0.083",="0.080",="0.083",="",="",=""
="",="",="",="",="(0.105)",="(0.105)",="(0.105)",="",="",=""
="2011 ServRest",="",="",="",="0.239***",="0.240***",="0.239***",="",="",=""
="",="",="",="",="(0.089)",="(0.089)",="(0.089)",="",="",=""
="Constant",="",="",="",="-0.690***",="-0.698***",="-0.693***",="",="",=""
="",="",="",="",="(0.259)",="(0.259)",="(0.259)",="",="",=""
="2015 financial_constraints",="",="",="",="",="",="",="",="",=""
="2014 z_cost",="",="",="",="",="",="",="1.857***",="1.853***",="1.854***"
="",="",="",="",="",="",="",="(0.334)",="(0.334)",="(0.334)"
="2014 evolcifra",="",="",="",="",="",="",="0.006",="0.006",="0.006"
="",="",="",="",="",="",="",="(0.075)",="(0.075)",="(0.075)"
="2014 bsupport",="",="",="",="",="",="",="0.063",="0.063",="0.063"
="",="",="",="",="",="",="",="(0.075)",="(0.075)",="(0.075)"
="2014 ln_size",="",="",="",="",="",="",="-0.136***",="-0.136***",="-0.136***"
="",="",="",="",="",="",="",="(0.033)",="(0.033)",="(0.033)"
="2014 ln_age",="",="",="",="",="",="",="-0.016",="-0.016",="-0.016"
="",="",="",="",="",="",="",="(0.059)",="(0.059)",="(0.059)"
="2014 ln_gintidpt",="",="",="",="",="",="",="-0.012",="-0.012",="-0.012"
="",="",="",="",="",="",="",="(0.008)",="(0.008)",="(0.008)"
="2014 depth",="",="",="",="",="",="",="0.040**",="0.040**",="0.040**"
="",="",="",="",="",="",="",="(0.017)",="(0.017)",="(0.017)"
="2014 breadth",="",="",="",="",="",="",="0.013",="0.013",="0.013"
="",="",="",="",="",="",="",="(0.009)",="(0.009)",="(0.009)"
="2014 knowledge_barriers",="",="",="",="",="",="",="0.220***",="0.220***",="0.220***"
="",="",="",="",="",="",="",="(0.065)",="(0.065)",="(0.065)"
="2014 dominated_barrier",="",="",="",="",="",="",="0.236***",="0.236***",="0.236***"
="",="",="",="",="",="",="",="(0.071)",="(0.071)",="(0.071)"
="2014 uncertainty_barrier",="",="",="",="",="",="",="0.255***",="0.255***",="0.255***"
="",="",="",="",="",="",="",="(0.066)",="(0.066)",="(0.066)"
="2014 higher_education",="",="",="",="",="",="",="0.082",="0.082",="0.082"
="",="",="",="",="",="",="",="(0.121)",="(0.121)",="(0.121)"
="2014 bip",="",="",="",="",="",="",="-0.167**",="-0.167**",="-0.167**"
="",="",="",="",="",="",="",="(0.065)",="(0.065)",="(0.065)"
="2014 group",="",="",="",="",="",="",="-0.175***",="-0.175***",="-0.175***"
="",="",="",="",="",="",="",="(0.062)",="(0.062)",="(0.062)"
="2014 bextranj",="",="",="",="",="",="",="-0.050",="-0.050",="-0.050"
="",="",="",="",="",="",="",="(0.104)",="(0.104)",="(0.104)"
="2014 exporter",="",="",="",="",="",="",="-0.081",="-0.081",="-0.081"
="",="",="",="",="",="",="",="(0.072)",="(0.072)",="(0.072)"
="2014 ManufAT",="",="",="",="",="",="",="0.000",="0.000",="0.000"
="",="",="",="",="",="",="",="(0.116)",="(0.116)",="(0.116)"
="2014 ManufTM",="",="",="",="",="",="",="0.026",="0.026",="0.026"
="",="",="",="",="",="",="",="(0.068)",="(0.068)",="(0.068)"
="2014 ServAT",="",="",="",="",="",="",="-0.018",="-0.018",="-0.018"
="",="",="",="",="",="",="",="(0.105)",="(0.105)",="(0.105)"
="2014 ServRest",="",="",="",="",="",="",="0.080",="0.080",="0.080"
="",="",="",="",="",="",="",="(0.087)",="(0.087)",="(0.087)"
="Constant",="",="",="",="",="",="",="-0.589**",="-0.588**",="-0.588**"
="",="",="",="",="",="",="",="(0.260)",="(0.260)",="(0.260)"
="N",="2615",="2615",="2615",="2619",="2619",="2619",="2619",="2619",="2619"
="N_clust",="",="",="",="",="",="",="",="",=""
="df_m",="40",="40",="40",="40",="40",="40",="40",="40",="40"
="r2_a",="",="",="",="",="",="",="",="",=""
="widstat",="",="",="",="",="",="",="",="",=""
="j",="",="",="",="",="",="",="",="",=""
="jp",="",="",="",="",="",="",="",="",=""
="Standard errors in parentheses"
="Source: Author's elaboration, based on The Spanish Technological innovation panel (PITEC)."
="* p<0.10, ** p<0.05, *** p<0.01"
